"000000007001","01!01!01!001!01005","DISASTER RELIEF                      1 EA"
"000000077844","01!01!01!001!01005","AKE APPLE STREUSEL SINGLE            1 CT"
"001852288412","01!01!01!001!01005","GMHRN SLC APPL BLUBRRY PM      19 OZ     "
"001852288412","01!01!01!001!01005","GMHRN SLC APPL CHRRY VAN       19 OZ     "
"003732313005","01!01!01!001!01005","MSLMN SLICED APPLES                 20 OZ"
"003732313005","01!01!01!001!01005","MSLMN SPCD RED APPLE RNGS         14.5 OZ"
